"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000224373",1055.04566382744,5.18791140052934,0.722591148273073,7.17959445383185,6.99185052379959e-13,1.08639373438798e-08
"ENSG00000197223",240.592787791654,2.80907843835194,0.408845870510399,6.87075164742429,6.38644951757259e-12,4.96163263020215e-08
"ENSG00000211668",986.905425836369,6.56740710171434,0.999799720131329,6.56872268463096,5.07486957086843e-11,2.62844411307179e-07
"ENSG00000170476",1856.45659657352,4.32231008545949,0.709383529940375,6.0930510831324,1.10778692343084e-09,4.30319830406712e-06
"ENSG00000145386",179.544962726932,4.18716230236149,0.696225562784256,6.01408871805386,1.80901423239206e-09,5.62169262858157e-06
"ENSG00000211955",1175.56983224177,5.34409641796927,0.903539863456981,5.91462162778578,3.32639358856877e-09,7.44950217850385e-06
"ENSG00000211962",995.962341697937,4.74081527033664,0.801739755999628,5.91315976893983,3.3560635377479e-09,7.44950217850385e-06
"ENSG00000089685",233.887739036572,4.43089977354224,0.77374280975391,5.72657957875111,1.02475703573506e-08,1.99033435265642e-05
"ENSG00000240864",271.500212336303,5.78939064376727,1.02888816383061,5.62684152397383,1.83539202894874e-08,2.8839734079098e-05
"ENSG00000211651",1597.38219222969,5.90229544128383,1.04931428462739,5.62490716818908,1.85607762125743e-08,2.8839734079098e-05
"ENSG00000211653",2135.98458262438,4.87093596256602,0.870396567708688,5.59622606898453,2.19068011327206e-08,3.09443523636557e-05
"ENSG00000132465",7575.89820623483,4.76858735209109,0.866223908207395,5.50502855775412,3.69108431230308e-08,4.77933900371377e-05
"ENSG00000223350",251.234558947476,6.37235630103109,1.16312644247645,5.47864451216799,4.28596463059598e-08,5.1227168023231e-05
"ENSG00000211947",1424.8595480179,4.48322919914802,0.825031110116453,5.4340122986577,5.51007805779284e-08,6.1153994901418e-05
"ENSG00000211598",3547.8915098472,4.34845666359907,0.803699195034717,5.41055246846581,6.28306106052296e-08,6.50841351722705e-05
"ENSG00000178999",118.411155317952,3.26057830515506,0.605666468482477,5.38345520980314,7.30694361016183e-08,7.09595561341841e-05
