"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000204271",306.313775069762,-1.88710599926732,0.394577289463647,-4.78260165918946,1.73040823903603e-06,0.000597490738180929
"ENSG00000246228",23.1347827216914,-5.76961798006794,1.33361644589613,-4.32629486373123,1.51638405398417e-05,0.00283874402780796
"ENSG00000241163",1231.82839193877,-2.08986844873965,0.485834407878591,-4.30160650388084,1.69564237768014e-05,0.00306359200748768
"ENSG00000183134",110.676250356606,-3.31608860045362,0.814939414880499,-4.06912285735976,4.71904600298158e-05,0.00666586698130253
"ENSG00000073737",114.855916340643,-2.72769952793453,0.677091093532915,-4.0285562075584,5.61204441576813e-05,0.0075826040114961
"ENSG00000157445",109.749460672692,-2.43610679673594,0.614553918787935,-3.9640245099089,7.36966809863028e-05,0.00938605761610798
"ENSG00000176595",377.484169599079,-1.99808243822586,0.510388492599208,-3.9148265824929,9.04692082323094e-05,0.0106520486435267
"ENSG00000126561",2690.54888101967,-0.637895408343947,0.166652386610981,-3.82770040871358,0.0001293460580467,0.0145636163038379
"ENSG00000082269",188.771997110952,-1.22405504204236,0.320170645388198,-3.82313325619914,0.000131766520778136,0.0147294115097171
"ENSG00000172375",681.260902690287,-0.613024525390616,0.171467851348108,-3.5751572121008,0.000350017505422323,0.0315744979565045
"ENSG00000129422",51.6764133622918,-2.9951314655882,0.839043147854597,-3.56969897584723,0.000357391672749676,0.0316092307634729
"ENSG00000198121",129.647722963948,-2.77860115239673,0.799625461716937,-3.47487828417893,0.000511085192083247,0.0398845214552864
"ENSG00000165092",446.726435471897,-2.39962660909315,0.693949397785247,-3.45792736005191,0.000544348133170507,0.0418716895703135
"ENSG00000170448",241.107214994251,-0.808651624061051,0.23530961484347,-3.43654306093261,0.000589188687057897,0.0446757475458094
"ENSG00000264745",19.0271603386793,-1.90253711049482,0.554875940685768,-3.42876122569575,0.000606342714247454,0.0457347237571696
"ENSG00000105875",415.918865077248,-0.795741080517935,0.23228986361531,-3.42563841630103,0.000613356320619364,0.0458188966816523
"ENSG00000155846",331.536248566614,-1.19895881059523,0.351210212015412,-3.41379256518492,0.000640653329313646,0.0474022449089307
"ENSG00000235217",40.9095185016335,-1.39888076974631,0.41612343492623,-3.36169668020332,0.000774651663778756,0.0537345426419389
"ENSG00000181908",39.8777900269624,-2.03100596238689,0.607719699897383,-3.34201106649963,0.000831737445832348,0.0566821773392238
"ENSG00000149187",3280.47937097234,-0.556143672446811,0.167349626669686,-3.32324417755962,0.000889769927699847,0.0593358160369108
"ENSG00000130584",36.4192182556529,-1.84025262186153,0.560382814926758,-3.28392051441129,0.00102373791054714,0.0671174668948583
"ENSG00000120949",408.20399900732,-1.67632277267875,0.511172258656719,-3.27936961423506,0.0010403927402536,0.0679227831851277
"ENSG00000156299",1298.78029404349,-0.906210004832489,0.279850990110562,-3.23818759574325,0.00120291683449821,0.074465823802523
"ENSG00000186300",84.509520805075,-1.37156312335982,0.424722157824124,-3.22931850409316,0.00124085614960499,0.0762072049508391
"ENSG00000072786",8850.75124980984,-0.556997391141183,0.173600486396079,-3.20850132798801,0.00133428693009584,0.080442311556115
"ENSG00000139970",1116.02230267417,-2.0654765832865,0.64566455493876,-3.19899329688682,0.00137908375305934,0.0820100381458078
"ENSG00000103047",529.775754877028,-0.612739621231359,0.193114425868955,-3.1729355198309,0.00150906035474313,0.0873027091441019
"ENSG00000168806",112.45735237002,-0.916447369642446,0.290601643425452,-3.15362073951086,0.00161258505928979,0.090783864678423
"ENSG00000117480",335.328228799712,-1.3007581225943,0.413923995547561,-3.14250475108019,0.00167508994641424,0.0932887010300519
"ENSG00000198740",532.589536065167,-0.838789524795566,0.266909891720936,-3.14259437665409,0.00167457719264349,0.0932887010300519
"ENSG00000183828",259.448967996355,-0.724783816645521,0.231981541819658,-3.12431674934278,0.00178218492962838,0.0956690342924271
